Goat Rock,Georgia Power Co,Lee,32.6088,-85.0814,99874,0,HYDRO,Alabama,AL
Gorgas,Alabama Power Co,Walker,33.6446,-87.2003,7393313,7703653,COAL,Alabama,AL
Greene County,Alabama Power Co,Greene,32.6017,-87.7811,3982941,4516882,COAL,Alabama,AL
Guntersville,Tennessee Valley Authority,Marshall,34.4211,-86.3931,414140,0,HYDRO,Alabama,AL
H Allen Franklin Combined Cycle,Southern Power Co,Lee,32.6094,-85.0961,3716876,1566630,GAS,Alabama,AL
H Neely Henry Dam,Alabama Power Co,Calhoun,33.7845,-86.0524,71541,0,HYDRO,Alabama,AL
Harris Dam,Alabama Power Co,Randolph,33.2579,-85.6162,45206,0,HYDRO,Alabama,AL
Hog Bayou Energy Center,Calpine,Mobile,30.7478,-88.0575,96764,41272,GAS,Alabama,AL
Holt Dam,Alabama Power Co,Tuscaloosa,33.2553,-87.4495,71760,0,HYDRO,Alabama,AL
International Paper Courtland Mill,International Paper Co,Lawrence,34.735,-87.3108,429973,35231,BIOMASS,Alabama,AL
International Paper Prattville Mill,International Paper Co,Autauga,32.4187,-86.4718,483123,43728,BIOMASS,Alabama,AL
International Paper Riverdale Mill,International Paper Co,Dallas,32.425,-86.8694,367048,98697,BIOMASS,Alabama,AL
James H Miller Jr,Alabama Power Co,Jefferson,33.6319,-87.0597,21896930,23839164,COAL,Alabama,AL
Jones Bluff,USCE-Mobile District,Autauga,32.3248,-86.7872,154759,0,HYDRO,Alabama,AL
Jordan Dam,Alabama Power Co,Elmore,32.6189,-86.2548,117689,0,HYDRO,Alabama,AL
Joseph M Farley,Alabama Power Co,Houston,31.2231,-85.1116,13097867,0,NUCLEAR,Alabama,AL
Langdale,Georgia Power Co,Chambers,32.8003,-85.1528,1405,0,HYDRO,Alabama,AL
Lay Dam,Alabama Power Co,Chilton,32.9633,-86.5187,193953,0,HYDRO,Alabama,AL
Lee County,South Eastern Elec Devt Corp,Lee,32.5412,-85.0384,4298,7178,GAS,Alabama,AL
Lewis Smith Dam,Alabama Power Co,Walker,33.9406,-87.1077,115093,0,HYDRO,Alabama,AL
Logan Martin Dam,Alabama Power Co,Talladega,33.4258,-86.338,98377,0,HYDRO,Alabama,AL
M C Dixon Lumber,MC Dixon Lumber Co Inc,Barbour,31.8773,-85.3912,1528,66,BIOMASS,Alabama,AL
Martin Dam,Alabama Power Co,Elmore,32.6797,-85.9125,109549,0,HYDRO,Alabama,AL
Mary Ann Gas Plant,Exxon Mobil,Mobile,30.7943,-88.2102,13456,0,GAS,Alabama,AL
McIntosh,Alabama Electric Coop Inc,Washington,31.2546,-88.0299,23862,13829,GAS,Alabama,AL
McWilliams,Alabama Electric Coop Inc,Covington,31.4001,-86.4767,1069809,462463,GAS,Alabama,AL
Mead Coated Board,NewPage Holding Corporation,Russell,32.175,-85.0311,644677,30790,BIOMASS,Alabama,AL
Millers Ferry,USCE-Mobile District,Wilcox,32.1009,-87.3969,197333,0,HYDRO,Alabama,AL
Mitchell Dam,Alabama Power Co,Coosa,32.8049,-86.4456,165520,0,HYDRO,Alabama,AL
Mobile Energy Services LLC,DTE NUGs,Mobile,30.7333,-88.0453,413026,160902,BIOMASS,Alabama,AL
Morgan Energy Center,Calpine,Morgan,34.6397,-87.0639,2910674,1387105,GAS,Alabama,AL
Point A,Alabama Electric Coop Inc,Covington,31.3614,-86.5183,9797,0,HYDRO,Alabama,AL
Rock-Tenn Mill,Rock-Tenn Co,Marengo,32.4541,-87.9759,179285,18971,BIOMASS,Alabama,AL
Shell Offshore Yellowhammer,Shell,Mobile,30.7943,-88.2102,12609,6270,GAS,Alabama,AL
Sloss Industries Corp,Sloss Industries Inc,Jefferson,33.5611,-86.8106,52253,15878,OTHRFOSL,Alabama,AL
Tenaska Central Alabama Generating Stn,Tenaska,Autauga,32.6503,-86.7386,665761,297835,GAS,Alabama,AL
Tenaska Lindsay Hill Generating Station,Tenaska,Autauga,32.6514,-86.7386,908517,393381,GAS,Alabama,AL
Theodore Cogen Facility,Alabama Power Co,Mobile,30.5248,-88.1289,1112776,540973,GAS,Alabama,AL
Thurlow Dam,Alabama Power Co,Elmore,32.5349,-85.8896,74925,0,HYDRO,Alabama,AL
U S Alliance Coosa Pines,AbitibiBowater,Talladega,33.3278,-86.3583,128026,86168,COAL,Alabama,AL
Walter Bouldin Dam,Alabama Power Co,Elmore,32.6184,-86.2567,169044,0,HYDRO,Alabama,AL
Washington County Cogeneration Facility,Alabama Power Co,Washington,31.2504,-88.0156,838415,548631,GAS,Alabama,AL
Weiss Dam,Alabama Power Co,Cherokee,34.1722,-85.7537,77268,0,HYDRO,Alabama,AL
Weyerhaeuser Pine Hill Operations,Weyerhaeuser Co,Wilcox,31.9698,-87.4806,471632,63438,BIOMASS,Alabama,AL
Wheeler Dam,Tennessee Valley Authority,Lawrence,34.8069,-87.3819,560686,0,HYDRO,Alabama,AL
Widows Creek,Tennessee Valley Authority,Jackson,34.8825,-85.7547,10004245,11309450,COAL,Alabama,AL
Wilson Dam,Tennessee Valley Authority,Lauderdale,34.7934,-87.6244,1090293,0,HYDRO,Alabama,AL
Yates Dam,Alabama Power Co,Elmore,32.5743,-85.8901,49353,0,HYDRO,Alabama,AL
Arkansas Nuclear One,Entergy Arkansas Inc,Pope,35.311,-93.2351,15486102,0,NUCLEAR,Arkansas,AR
Ashdown,Domtar Inc,Little River,33.6417,-94.1083,793437,94351,BIOMASS,Arkansas,AR
Beaver,USCE-Little Rock District,Carroll,36.4226,-93.8462,111840,0,HYDRO,Arkansas,AR
Blakely Mountain,USCE-Vickburg District,Garland,34.5711,-93.1947,158831,0,HYDRO,Arkansas,AR
Bull Shoals,USCE-Little Rock District,Marion,36.3635,-92.5763,528091,0,HYDRO,Arkansas,AR
Carl Bailey,Arkansas Electric Coop Corp,Woodruff,35.2597,-91.3631,11443,6783,GAS,Arkansas,AR
Carpenter,Entergy Arkansas Inc,Garland,34.4425,-93.0262,104667,0,HYDRO,Arkansas,AR
Cecil Lynch,Entergy Arkansas Inc,Pulaski,34.7535,-92.1987,33232,31905,GAS,Arkansas,AR
City Water Light Plant City of Jonesboro,City Water and Light Plant,Craighead,35.8481,-90.7257,39215,21162,GAS,Arkansas,AR
Clearwater Paper APP CB,Potlatch Forest Products Corp,Desha,33.7061,-91.2371,149672,13589,BIOMASS,Arkansas,AR
Columbia Flooring Melbourne,Century Flooring Company LLC,Izard,36.0942,-91.9112,1229,648,BIOMASS,Arkansas,AR
Dam 2,Arkansas Electric Coop Corp,Desha,33.9864,-91.3159,406779,0,HYDRO,Arkansas,AR
Dardanelle,USCE-Little Rock District,Pope,35.2503,-93.1686,738172,0,HYDRO,Arkansas,AR
Degray,USCE-Vickburg District,Clark,34.2122,-93.1099,84441,0,HYDRO,Arkansas,AR
Dell Power Station,Associated Electric Coop Inc,Mississippi,35.8619,-90.0253,222491,67665,GAS,Arkansas,AR
Ellis,Arkansas Electric Coop Corp,Crawford,35.5907,-94.2409,116364,0,HYDRO,Arkansas,AR
Flint Creek,Southwestern Electric Power Co,Benton,36.2561,-94.5241,3566857,3949333,COAL,Arkansas,AR
Fourche Creek Wastewater,Little Rock Wastewater Utility,Pulaski,34.7748,-92.3081,2136,126,BIOMASS,Arkansas,AR
Fulton,Arkansas Electric Coop Corp,Hempstead,33.6094,-93.7924,40017,7002,GAS,Arkansas,AR
Georgia Pacific Crossett,Georgia Pacific,Ashley,33.1421,-91.975,518607,24327,BIOMASS,Arkansas,AR
Greers Ferry Lake,USCE-Little Rock District,Cleburne,35.5207,-91.9953,175943,0,HYDRO,Arkansas,AR
Hamilton Moses,Entergy Arkansas Inc,St Francis,34.9806,-90.8722,-145,0,GAS,Arkansas,AR
Harry D Mattison,Southwestern Electric Power Co,Washington,36.1855,-94.2841,119330,61023,GAS,Arkansas,AR
Harry L Oswald,Arkansas Electric Coop Corp,Pulaski,34.5923,-92.2166,301753,152207,GAS,Arkansas,AR
Harvey Couch,Entergy Arkansas Inc,Lafayette,33.3592,-93.4649,25148,25970,GAS,Arkansas,AR
Hot Spring Power Project,GDF-SUEZ Energy Resources,Hot Spring,34.4304,-92.8333,1661335,718574,GAS,Arkansas,AR
Independence,Entergy Arkansas Inc,Independence,35.6733,-91.4083,12106999,13916129,COAL,Arkansas,AR
KGen Hot Spring LLC,Duke Energy Power Services,Hot Spring,34.2963,-92.8683,1034448,467721,GAS,Arkansas,AR
Lake Catherine,Entergy Arkansas Inc,Hot Spring,34.4341,-92.9046,29168,24518,GAS,Arkansas,AR
Lee Creek Water Treatment Facility,Fort Smith City of,Crawford,35.5907,-94.2409,550,0,HYDRO,Arkansas,AR
Mabelvale,Entergy Arkansas Inc,Pulaski,34.6342,-92.4105,5852,4669,GAS,Arkansas,AR
McClellan,Arkansas Electric Coop Corp,Ouachita,33.5648,-92.7917,160742,129077,GAS,Arkansas,AR
Municipal Light,Piggott City of,Clay,36.3693,-90.4105,52,47,OIL,Arkansas,AR
Murray,North Little Rock City of,Pulaski,34.7956,-92.3569,148092,0,HYDRO,Arkansas,AR
Narrows,USCE-Vickburg District,Pike,34.1483,-93.7149,36247,0,HYDRO,Arkansas,AR
Norfork,USCE-Little Rock District,Baxter,36.2491,-92.2401,161033,0,HYDRO,Arkansas,AR
